,n,t,r,d,i,id,iter
0,1000,10,1,497.8,0,20000,20
1,1000,10,1,497.8,1,20000,20
2,1000,10,1,497.75,2,20000,20
3,1000,10,1,498.15,3,20000,20
4,1000,10,1,498.5,4,20000,20
5,1000,10,1,498.75,5,20000,20
6,1000,10,1,499.0,6,20000,20
7,1000,10,1,499.2,7,20000,20
8,1000,10,1,499.35,8,20000,20
9,1000,10,1,499.65,9,20000,20
10,1000,10,1,499.9,10,20000,20
11,1000,10,1,500.3,11,20000,20
12,1000,10,1,500.3,12,20000,20
13,1000,10,1,500.25,13,20000,20
14,1000,10,1,500.6,14,20000,20
15,1000,10,1,500.85,15,20000,20
16,1000,10,1,501.2,16,20000,20
17,1000,10,1,501.55,17,20000,20
18,1000,10,1,501.95,18,20000,20
19,1000,10,1,502.2,19,20000,20
20,1000,10,1,502.4,20,20000,20
21,1000,10,1,502.7,21,20000,20
22,1000,10,1,502.95,22,20000,20
23,1000,10,1,502.95,23,20000,20
24,1000,10,1,503.4,24,20000,20
25,1000,10,1,503.7,25,20000,20
26,1000,10,1,504.15,26,20000,20
27,1000,10,1,504.95,27,20000,20
28,1000,10,1,505.25,28,20000,20
29,1000,10,1,505.25,29,20000,20
30,1000,10,1,505.5,30,20000,20
31,1000,10,1,505.95,31,20000,20
32,1000,10,1,506.4,32,20000,20
33,1000,10,1,506.75,33,20000,20
34,1000,10,1,506.75,34,20000,20
35,1000,10,1,506.9,35,20000,20
36,1000,10,1,507.3,36,20000,20
37,1000,10,1,507.65,37,20000,20
38,1000,10,1,507.95,38,20000,20
39,1000,10,1,508.45,39,20000,20
40,1000,10,1,509.05,40,20000,20
41,1000,10,1,509.35,41,20000,20
42,1000,10,1,509.65,42,20000,20
43,1000,10,1,510.2,43,20000,20
44,1000,10,1,510.35,44,20000,20
45,1000,10,1,510.35,45,20000,20
46,1000,10,1,510.6,46,20000,20
47,1000,10,1,510.85,47,20000,20
48,1000,10,1,511.1,48,20000,20
49,1000,10,1,511.3,49,20000,20
50,1000,10,1,511.45,50,20000,20
51,1000,10,1,511.8,51,20000,20
52,1000,10,1,512.1,52,20000,20
53,1000,10,1,512.35,53,20000,20
54,1000,10,1,512.95,54,20000,20
55,1000,10,1,513.3,55,20000,20
56,1000,10,1,513.3,56,20000,20
57,1000,10,1,513.55,57,20000,20
58,1000,10,1,513.85,58,20000,20
59,1000,10,1,514.05,59,20000,20
60,1000,10,1,514.45,60,20000,20
61,1000,10,1,515.15,61,20000,20
62,1000,10,1,515.55,62,20000,20
63,1000,10,1,516.0,63,20000,20
64,1000,10,1,516.3,64,20000,20
65,1000,10,1,516.45,65,20000,20
66,1000,10,1,516.65,66,20000,20
67,1000,10,1,516.65,67,20000,20
68,1000,10,1,517.1,68,20000,20
69,1000,10,1,517.7,69,20000,20
70,1000,10,1,518.0,70,20000,20
71,1000,10,1,518.2,71,20000,20
72,1000,10,1,518.45,72,20000,20
73,1000,10,1,519.1,73,20000,20
74,1000,10,1,519.3,74,20000,20
75,1000,10,1,519.6,75,20000,20
76,1000,10,1,519.7,76,20000,20
77,1000,10,1,520.15,77,20000,20
78,1000,10,1,520.15,78,20000,20
79,1000,10,1,520.45,79,20000,20
80,1000,10,1,521.0,80,20000,20
81,1000,10,1,521.15,81,20000,20
82,1000,10,1,521.3,82,20000,20
83,1000,10,1,521.6,83,20000,20
84,1000,10,1,521.8,84,20000,20
85,1000,10,1,522.2,85,20000,20
86,1000,10,1,522.7,86,20000,20
87,1000,10,1,523.0,87,20000,20
88,1000,10,1,523.3,88,20000,20
89,1000,10,1,523.3,89,20000,20
90,1000,10,1,523.4,90,20000,20
91,1000,10,1,523.65,91,20000,20
92,1000,10,1,523.85,92,20000,20
93,1000,10,1,524.25,93,20000,20
94,1000,10,1,524.55,94,20000,20
95,1000,10,1,524.85,95,20000,20
96,1000,10,1,524.95,96,20000,20
97,1000,10,1,525.2,97,20000,20
98,1000,10,1,525.5,98,20000,20
99,1000,10,1,526.05,99,20000,20
100,1000,10,1,526.05,100,20000,20
101,1000,10,1,526.45,101,20000,20
102,1000,10,1,526.85,102,20000,20
103,1000,10,1,527.45,103,20000,20
104,1000,10,1,527.65,104,20000,20
105,1000,10,1,528.2,105,20000,20
106,1000,10,1,528.45,106,20000,20
107,1000,10,1,528.5,107,20000,20
108,1000,10,1,529.05,108,20000,20
109,1000,10,1,529.3,109,20000,20
110,1000,10,1,529.7,110,20000,20
111,1000,10,1,529.7,111,20000,20
112,1000,10,1,530.25,112,20000,20
113,1000,10,1,530.55,113,20000,20
114,1000,10,1,530.9,114,20000,20
115,1000,10,1,531.05,115,20000,20
116,1000,10,1,531.35,116,20000,20
117,1000,10,1,531.85,117,20000,20
118,1000,10,1,532.1,118,20000,20
119,1000,10,1,532.4,119,20000,20
120,1000,10,1,532.65,120,20000,20
121,1000,10,1,533.2,121,20000,20
122,1000,10,1,533.2,122,20000,20
123,1000,10,1,533.4,123,20000,20
124,1000,10,1,533.65,124,20000,20
125,1000,10,1,533.9,125,20000,20
126,1000,10,1,534.25,126,20000,20
127,1000,10,1,534.5,127,20000,20
128,1000,10,1,534.7,128,20000,20
129,1000,10,1,534.95,129,20000,20
130,1000,10,1,535.3,130,20000,20
131,1000,10,1,535.4,131,20000,20
132,1000,10,1,535.75,132,20000,20
133,1000,10,1,535.75,133,20000,20
134,1000,10,1,535.8,134,20000,20
135,1000,10,1,536.15,135,20000,20
136,1000,10,1,536.45,136,20000,20
137,1000,10,1,536.9,137,20000,20
138,1000,10,1,537.05,138,20000,20
139,1000,10,1,537.6,139,20000,20
140,1000,10,1,537.7,140,20000,20
141,1000,10,1,538.05,141,20000,20
142,1000,10,1,538.1,142,20000,20
143,1000,10,1,538.35,143,20000,20
144,1000,10,1,538.35,144,20000,20
145,1000,10,1,538.2,145,20000,20
146,1000,10,1,538.65,146,20000,20
147,1000,10,1,538.85,147,20000,20
148,1000,10,1,539.15,148,20000,20
149,1000,10,1,539.2,149,20000,20
150,1000,10,1,539.45,150,20000,20
151,1000,10,1,539.75,151,20000,20
152,1000,10,1,540.2,152,20000,20
153,1000,10,1,540.45,153,20000,20
154,1000,10,1,540.85,154,20000,20
155,1000,10,1,540.85,155,20000,20
156,1000,10,1,540.75,156,20000,20
157,1000,10,1,540.95,157,20000,20
158,1000,10,1,541.15,158,20000,20
159,1000,10,1,541.45,159,20000,20
160,1000,10,1,541.8,160,20000,20
161,1000,10,1,542.1,161,20000,20
162,1000,10,1,542.4,162,20000,20
163,1000,10,1,542.7,163,20000,20
164,1000,10,1,543.25,164,20000,20
165,1000,10,1,543.7,165,20000,20
166,1000,10,1,543.7,166,20000,20
167,1000,10,1,544.35,167,20000,20
168,1000,10,1,544.75,168,20000,20
169,1000,10,1,545.05,169,20000,20
170,1000,10,1,545.2,170,20000,20
171,1000,10,1,545.4,171,20000,20
172,1000,10,1,545.6,172,20000,20
